role,file,size_bytes,sha256,policy
career_authority,rls_career_overhaul_2.6.6.zip,43066347,b3cd053dafaef96ebe283bb5f39d2b7187430ad99f4b9f94d0aa825d5c1f155b,exact build input
phone_working_evidence,zzzz_RedFox_FoxNet_Web_Ecosystem_v0_10_3_7_ALL_IN_ONE_PC_PHONE_GARAGE_SELL_FIX.zip,24510848,4dac614a4b14d423c069dccc8bdb5e0e511ee208f7414d3e6ed50a86a7903597,inspect only
design_reference,better_career_mod_v050.zip,28174063,3fb6bad89926d5d71cdd1e52a4b7538f46abc202c71c5ccf1e7054fd54a3c7a1,inspect only no source copy
